# time_s, blanket_inventory_kg, TES_inventory_kg, ISS_inventory_kg,storage_inventory_kg,FW_inventory_kg,div_inventory_kg 
3.637808694708359987e+07,3.157910027796489820e-03,6.374202604022199958e-02,2.679638160879920239e-01,2.168248939943110187e+00,1.505580409469090079e-05,1.469065770665699974e-05
3.639308849565929919e+07,3.345680400655999878e-03,6.373312397911619354e-02,2.677001102355979767e-01,2.159981905609980046e+00,1.601908649088500076e-05,1.565393881781510134e-05
3.640820951361440122e+07,3.395041654680519983e-03,6.375075663890650279e-02,2.678173692503019732e-01,2.158919057672710196e+00,1.597296298865140158e-05,1.560782204668199834e-05
3.642308694708359987e+07,3.157910027796439947e-03,6.374202604022149998e-02,2.679638160879970199e-01,2.169632258858389839e+00,1.505580409468870020e-05,1.469065770665469920e-05
3.643808849565929919e+07,3.345680400656070135e-03,6.373312397911740090e-02,2.677001102356280082e-01,2.161365188624860156e+00,1.601908649088509902e-05,1.565393881781510134e-05
3.645320951361440122e+07,3.395041654680810116e-03,6.375075663890529543e-02,2.678173692502520131e-01,2.160302304502319970e+00,1.597296298865479987e-05,1.560782204668529838e-05
3.646808694708359987e+07,3.157910027797969973e-03,6.374202604022140284e-02,2.679638160880090103e-01,2.171015470086409938e+00,1.505580409469090079e-05,1.469065770665699974e-05
3.648308849565929919e+07,3.345680400656019828e-03,6.373312397911859439e-02,2.677001102356509898e-01,2.162748363955349973e+00,1.601908649088480086e-05,1.565393881781490144e-05
3.649820951361440122e+07,3.395041654679120061e-03,6.375075663890389377e-02,2.678173692502169856e-01,2.161685443650430027e+00,1.597296298865050033e-05,1.560782204668099884e-05
3.651308694708359987e+07,3.157910027798709832e-03,6.374202604022209673e-02,2.679638160880449815e-01,2.172398573635629937e+00,1.505580409469120064e-05,1.469065770665719964e-05
3.652808849565929919e+07,3.345680400656199805e-03,6.373312397911970462e-02,2.677001102356669771e-01,2.164131431609829903e+00,1.601908649088580036e-05,1.565393881781590094e-05
3.654320951361440122e+07,3.395041654680140079e-03,6.375075663890200639e-02,2.678173692501670256e-01,2.163068475125249801e+00,1.597296298865420017e-05,1.560782204668480032e-05
3.655808694708359987e+07,3.157910027798999965e-03,6.374202604022319307e-02,2.679638160880820075e-01,2.173781569514449785e+00,1.505580409469140054e-05,1.469065770665739954e-05
3.657308849565929919e+07,3.345680400655240069e-03,6.373312397911959359e-02,2.677001102356459938e-01,2.165514391596770061e+00,1.601908649088560046e-05,1.565393881781570104e-05
3.658820951361440122e+07,3.395041654680090205e-03,6.375075663890150679e-02,2.678173692501720216e-01,2.164451398935260062e+00,1.597296298865079849e-05,1.560782204668130038e-05
3.660308694708359987e+07,3.157910027799110120e-03,6.374202604022440044e-02,2.679638160881129827e-01,2.175164457731249890e+00,1.505580409469150049e-05,1.469065770665749949e-05
3.661808849565929919e+07,3.345680400653380012e-03,6.373312397911840010e-02,2.677001102355969775e-01,2.166897243924520211e+00,1.601908649088389962e-05,1.565393881781400020e-05
3.663320951361440122e+07,3.395041654681789801e-03,6.375075663890120148e-02,2.678173692501780168e-01,2.165834215088770165e+00,1.597296298865449833e-05,1.560782204668509848e-05
3.664808694708359987e+07,3.157910027799169968e-03,6.374202604022559393e-02,2.679638160881370190e-01,2.176547238294389786e+00,1.505580409469160044e-05,1.469065770665769939e-05
3.666308849565929919e+07,3.345680400653619838e-03,6.373312397911740090e-02,2.677001102355650031e-01,2.168279988601319985e+00,1.601908649088429942e-05,1.565393881781429835e-05
3.667820951361440122e+07,3.395041654682619866e-03,6.375075663890189537e-02,2.678173692502129888e-01,2.167216923594240008e+00,1.597296298865479987e-05,1.560782204668540002e-05
